Image ID,Observation Date,MJD,Filter,Detection ID,Distance [arcsec],RA [deg],DEC [deg],Mag_Opt,Magerr_Opt,Flux [μJy],Fluxerr [μJy],Zero-point stdev,flags,flags_mask,class_star,number,x_pos,y_pos,xvar_pos,yvar_pos,xycov_pos,elongation,fwhm,background,mag_aper_r0.66xfwhm,mag_aper_r1.5xfwhm,mag_aper_r5xfwhm,magerr_aper_r0.66xfwhm,magerr_aper_r1.5xfwhm,magerr_aper_r5xfwhm,e_flux_opt,e_fluxerr_opt
19511,2017-10-23 00:58:00.000000,58049.04028,u,1253570493,0.0825,53.61598,-27.20620,16.410,0.0171,990.645,15.600,0.0476,0,0,0.969,1216,9146.879,2443.073,4.488e-03,4.531e-03,1.586e-05,1.059,7.715,-1.139,16.922,16.408,16.017,0.0178,0.0222,0.0488,147.493,2.323
19512,2017-10-23 00:59:10.000000,58049.04109,u,1253572253,0.0404,53.61596,-27.20622,16.382,0.0161,1017.153,15.111,0.0422,0,0,0.973,1252,9145.601,2440.619,2.754e-03,2.774e-03,-9.810e-06,1.048,6.698,-0.522,16.925,16.441,16.276,0.0165,0.0207,0.0552,150.805,2.240
19513,2017-10-23 01:00:20.000000,58049.04190,u,1253574340,0.0848,53.61597,-27.20620,16.386,0.0161,1012.710,14.992,0.0501,0,0,0.977,1278,9145.814,2441.057,2.527e-03,2.582e-03,-3.170e-06,1.052,6.518,0.006,16.910,16.450,16.492,0.0165,0.0210,0.0677,149.390,2.212
19514,2017-10-23 01:01:30.000000,58049.04271,u,1253576209,0.0186,53.61597,-27.20623,16.386,0.0160,1012.692,14.890,0.0438,0,0,0.974,1223,9145.050,2446.211,2.413e-03,2.493e-03,-2.072e-05,1.050,6.619,0.366,16.903,16.466,16.656,0.0162,0.0210,0.0774,149.423,2.197
19515,2017-10-23 01:02:40.000000,58049.04352,u,1253578069,0.0124,53.61598,-27.20622,16.398,0.0162,1001.695,14.982,0.0461,0,0,0.976,1242,9144.882,2448.345,2.951e-03,3.166e-03,9.930e-06,1.223,7.361,0.632,16.817,16.445,16.743,0.0167,0.0235,0.0973,148.649,2.223
19516,2017-10-23 01:03:50.000000,58049.04433,u,1253579897,0.0405,53.61596,-27.20622,16.415,0.0156,986.306,14.177,0.0454,0,0,0.974,1268,9144.777,2450.895,1.866e-03,1.899e-03,-1.421e-05,1.053,5.886,-0.491,16.949,16.440,16.200,0.0154,0.0183,0.0446,145.700,2.094
19517,2017-10-23 01:05:00.000000,58049.04514,u,1253581878,0.0349,53.61597,-27.20623,16.428,0.0159,975.037,14.268,0.0481,0,0,0.934,1276,9144.124,2448.151,2.084e-03,2.129e-03,-7.740e-06,1.055,6.089,0.012,16.975,16.465,16.443,0.0161,0.0193,0.0576,144.456,2.114
19518,2017-10-23 01:06:10.000000,58049.04595,u,1253583831,0.0305,53.61598,-27.20623,16.385,0.0157,1013.523,14.633,0.0469,0,0,0.979,1261,9144.272,2448.679,2.428e-03,2.541e-03,-1.256e-05,1.202,6.567,-1.054,16.859,16.367,15.970,0.0157,0.0193,0.0412,149.271,2.155
19519,2017-10-23 01:07:20.000000,58049.04676,u,1253585728,0.0736,53.61595,-27.20621,16.433,0.0161,969.900,14.387,0.0448,0,0,0.976,1306,9144.090,2452.906,2.321e-03,2.358e-03,-2.156e-05,1.069,5.949,-0.413,16.960,16.434,16.113,0.0162,0.0192,0.0439,142.367,2.112
19520,2017-10-23 01:08:30.000000,58049.04757,u,1253587651,0.0492,53.61598,-27.20623,16.371,0.0158,1027.157,14.927,0.0534,0,0,0.978,1244,9143.402,2455.254,2.400e-03,2.489e-03,2.073e-06,1.149,6.755,-0.151,16.860,16.408,16.246,0.0159,0.0203,0.0541,150.783,2.191
20124,2017-10-23 01:09:40.000000,58049.04838,z,1254175068,0.0105,53.61598,-27.20622,15.381,0.0151,2555.268,35.607,0.0193,0,0,0.278,1393,9141.941,2450.782,1.824e-03,1.828e-03,-1.282e-05,1.079,5.309,1.096,16.209,15.530,15.373,0.0159,0.0172,0.0461,238.663,3.326
20125,2017-10-23 01:10:50.000000,58049.04919,z,1254180361,0.0548,53.61596,-27.20623,15.365,0.0153,2594.137,36.559,0.0197,0,0,0.969,1289,9141.405,2454.153,1.771e-03,1.789e-03,-1.211e-05,1.126,5.310,0.768,16.092,15.548,15.361,0.0156,0.0191,0.0505,244.754,3.449
20126,2017-10-23 01:12:00.000000,58049.05000,z,1254185416,0.0331,53.61597,-27.20622,15.380,0.0150,2557.856,35.444,0.0188,0,0,0.477,1353,9141.015,2457.012,1.668e-03,1.653e-03,-2.617e-05,1.088,5.118,-0.072,16.225,15.545,15.377,0.0159,0.0171,0.0452,238.818,3.309
20127,2017-10-23 01:13:10.000000,58049.05081,z,1254190706,0.0642,53.61596,-27.20623,15.394,0.0157,2525.596,36.592,0.0187,0,0,0.898,1309,9141.243,2459.803,2.062e-03,2.067e-03,-2.087e-05,1.034,5.536,0.277,16.194,15.570,15.390,0.0165,0.0190,0.0504,237.566,3.442
20128,2017-10-23 01:14:20.000000,58049.05162,z,1254195937,0.0519,53.61597,-27.20623,15.422,0.0163,2462.721,36.987,0.0176,0,0,0.906,1533,9141.472,2457.638,2.702e-03,2.774e-03,-1.406e-05,1.123,6.777,0.140,16.139,15.542,15.420,0.0171,0.0204,0.0577,234.219,3.518
20129,2017-10-23 01:15:30.000000,58049.05243,z,1254200859,0.0533,53.61596,-27.20621,15.395,0.0152,2524.268,35.421,0.0170,0,0,0.890,1362,9141.603,2457.330,1.664e-03,1.668e-03,-1.378e-05,1.078,5.096,0.535,16.177,15.569,15.324,0.0155,0.0178,0.0441,236.415,3.317
20130,2017-10-23 01:16:40.000000,58049.05324,z,1254206016,0.0567,53.61596,-27.20623,15.387,0.0158,2542.509,37.004,0.0182,0,0,0.938,1305,9141.876,2461.519,2.379e-03,2.461e-03,-1.889e-05,1.237,6.280,0.982,16.093,15.550,15.548,0.0166,0.0206,0.0652,241.406,3.513
20131,2017-10-23 01:17:50.000000,58049.05405,z,1254210897,0.0288,53.61598,-27.20622,15.388,0.0156,2540.163,36.538,0.0177,0,0,0.846,1315,9140.711,2462.320,2.098e-03,2.099e-03,-2.110e-05,1.037,5.541,0.648,16.179,15.570,15.516,0.0164,0.0191,0.0569,238.837,3.435
20132,2017-10-23 01:19:00.000000,58049.05486,z,1254215947,0.0057,53.61597,-27.20622,15.418,0.0154,2471.370,35.044,0.0223,0,0,0.960,1351,9140.524,2466.271,1.698e-03,1.718e-03,-1.503e-05,1.042,5.487,-0.022,16.151,15.589,15.346,0.0157,0.0188,0.0471,232.031,3.290
20133,2017-10-23 01:20:10.000000,58049.05567,z,1254221356,0.0319,53.61596,-27.20622,15.372,0.0150,2577.082,35.581,0.0217,0,0,0.967,1555,9140.357,2462.839,1.463e-03,1.481e-03,-8.142e-06,1.029,4.894,0.355,16.095,15.567,15.416,0.0151,0.0185,0.0505,241.190,3.330
18142,2017-10-23 01:24:50.000000,58049.05891,g,1247046597,0.0000,53.61597,-27.20623,15.743,0.0055,1832.357,9.233,0.0244,0,0,0.983,2114,9138.313,2466.404,1.313e-04,1.325e-04,6.762e-07,1.043,4.901,-0.338,16.310,15.806,15.738,0.0049,0.0046,0.0103,837.751,4.221
18143,2017-10-23 01:26:00.000000,58049.05972,g,1247053014,0.0082,53.61597,-27.20623,15.737,0.0055,1842.035,9.328,0.0234,0,0,0.983,1991,9141.313,2470.479,1.522e-04,1.702e-04,6.157e-06,1.166,5.839,-0.269,16.189,15.778,15.729,0.0047,0.0050,0.0120,841.854,4.263
18144,2017-10-23 01:27:10.000000,58049.06053,g,1247059275,0.0084,53.61597,-27.20622,15.745,0.0055,1828.589,9.240,0.0231,0,0,0.985,2223,9142.299,2473.012,1.209e-04,1.243e-04,-2.014e-06,1.055,4.641,-0.256,16.353,15.821,15.722,0.0049,0.0046,0.0097,833.538,4.212
18145,2017-10-23 01:28:20.000000,58049.06134,g,1247066080,0.0196,53.61597,-27.20622,15.746,0.0055,1826.592,9.188,0.0223,0,0,0.983,2132,9142.535,2476.816,1.155e-04,1.202e-04,-9.154e-07,1.082,4.619,0.167,16.345,15.815,15.741,0.0049,0.0045,0.0098,832.014,4.185
18146,2017-10-23 01:29:30.000000,58049.06215,g,1247072882,0.0177,53.61598,-27.20622,15.756,0.0055,1810.398,9.172,0.0234,0,0,0.983,2227,9142.684,2476.394,1.188e-04,1.235e-04,-2.661e-06,1.073,4.671,0.194,16.343,15.824,15.733,0.0049,0.0046,0.0098,825.016,4.180
18147,2017-10-23 01:30:40.000000,58049.06296,g,1247079670,0.0061,53.61597,-27.20622,15.744,0.0055,1829.768,9.200,0.0237,0,0,0.983,2131,9142.851,2474.551,1.144e-04,1.155e-04,-1.632e-06,1.056,4.595,0.519,16.347,15.816,15.753,0.0049,0.0045,0.0098,831.876,4.182
18148,2017-10-23 01:31:50.000000,58049.06377,g,1247088941,0.0146,53.61598,-27.20622,15.743,0.0055,1830.833,9.246,0.0214,0,0,0.983,2442,9142.930,2478.068,1.226e-04,1.369e-04,-1.367e-06,1.141,5.026,0.190,16.265,15.800,15.746,0.0048,0.0047,0.0108,831.636,4.200
18184,2017-10-23 01:33:00.000000,58049.06458,i,1247233028,0.0155,53.61597,-27.20622,15.421,0.0078,2462.924,17.754,0.0135,0,0,0.982,2158,9143.290,2483.348,2.798e-04,3.038e-04,-8.719e-06,1.181,5.062,0.418,15.990,15.504,15.402,0.0071,0.0080,0.0207,529.301,3.815
18185,2017-10-23 01:34:10.000000,58049.06539,i,1247241637,0.0449,53.61596,-27.20622,15.413,0.0076,2482.272,17.419,0.0145,0,0,0.983,2307,9143.305,2485.394,2.068e-04,2.184e-04,-7.342e-06,1.119,4.284,0.402,16.056,15.519,15.424,0.0070,0.0072,0.0180,533.062,3.741
18186,2017-10-23 01:35:20.000000,58049.06620,i,1247250661,0.0191,53.61597,-27.20623,15.403,0.0075,2505.170,17.410,0.0171,0,0,0.981,2390,9143.546,2481.045,1.894e-04,1.868e-04,-6.833e-06,1.023,4.042,-0.534,16.085,15.524,15.390,0.0069,0.0070,0.0164,538.415,3.742
18187,2017-10-23 01:36:30.000000,58049.06701,i,1247259588,0.0198,53.61598,-27.20622,15.418,0.0078,2470.176,17.745,0.0146,0,0,0.986,2093,9143.579,2482.980,2.577e-04,2.786e-04,-5.378e-06,1.169,4.886,-0.773,15.975,15.502,15.372,0.0071,0.0080,0.0204,530.185,3.809
18188,2017-10-23 01:37:40.000000,58049.06782,i,1247268010,0.0143,53.61598,-27.20622,15.411,0.0077,2487.191,17.602,0.0149,0,0,0.982,2286,9143.384,2487.809,2.121e-04,2.182e-04,-7.554e-06,1.063,4.306,-0.093,16.041,15.515,15.383,0.0070,0.0074,0.0182,531.389,3.761
18189,2017-10-23 01:38:50.000000,58049.06863,i,1247276632,0.0177,53.61597,-27.20622,15.429,0.0078,2446.220,17.512,0.0151,0,0,0.983,2148,9143.478,2490.417,2.415e-04,2.750e-04,-3.933e-06,1.201,5.018,0.528,15.924,15.502,15.418,0.0069,0.0082,0.0217,526.266,3.767
18190,2017-10-23 01:40:00.000000,58049.06944,i,1247285047,0.0347,53.61596,-27.20622,15.423,0.0077,2458.598,17.547,0.0132,0,0,0.984,2216,9143.479,2491.575,2.397e-04,2.692e-04,-1.445e-06,1.180,4.968,0.544,15.920,15.496,15.425,0.0069,0.0081,0.0217,528.381,3.771
18191,2017-10-23 01:41:10.000000,58049.07025,i,1247293913,0.0237,53.61596,-27.20622,15.421,0.0076,2463.016,17.309,0.0312,0,0,0.981,2846,9143.357,2489.360,1.750e-04,1.717e-04,-4.475e-06,1.034,3.744,0.583,16.122,15.562,15.426,0.0071,0.0070,0.0165,521.457,3.665
18192,2017-10-23 01:42:20.000000,58049.07106,i,1247302988,0.0235,53.61597,-27.20622,15.432,0.0080,2439.611,18.016,0.0391,0,0,0.983,2095,9143.343,2491.160,3.117e-04,3.487e-04,-2.587e-06,1.295,5.592,0.051,15.895,15.485,15.392,0.0073,0.0090,0.0243,518.185,3.827
18193,2017-10-23 01:43:30.000000,58049.07188,i,1247311329,0.0169,53.61597,-27.20623,15.420,0.0077,2466.642,17.601,0.0492,0,0,0.973,2669,9142.948,2496.367,1.917e-04,1.913e-04,-5.037e-06,1.035,3.934,-0.494,16.119,15.540,15.382,0.0072,0.0071,0.0165,515.503,3.678
19468,2017-10-23 01:44:40.000000,58049.07269,r,1253303910,0.0201,53.61597,-27.20622,15.506,0.0060,2279.153,12.563,0.0139,0,0,0.981,2561,9143.687,2496.604,1.101e-04,1.148e-04,5.508e-07,1.072,4.022,0.338,16.180,15.604,15.492,0.0055,0.0050,0.0107,728.720,4.017
19469,2017-10-23 01:45:50.000000,58049.07350,r,1253313271,0.0170,53.61597,-27.20622,15.495,0.0059,2300.995,12.556,0.0125,0,0,0.993,2672,9143.471,2495.684,1.001e-04,1.047e-04,6.214e-07,1.074,3.939,0.549,16.180,15.600,15.485,0.0054,0.0049,0.0103,735.422,4.013
19470,2017-10-23 01:47:00.000000,58049.07431,r,1253322671,0.0173,53.61597,-27.20622,15.500,0.0060,2290.929,12.604,0.0148,0,0,0.983,2587,9143.199,2500.467,1.103e-04,1.194e-04,-4.098e-07,1.149,4.215,0.489,16.118,15.588,15.517,0.0054,0.0051,0.0116,734.397,4.040
19471,2017-10-23 01:48:10.000000,58049.07512,r,1253331667,0.0110,53.61597,-27.20622,15.505,0.0061,2279.836,12.727,0.0148,0,0,0.983,2364,9143.264,2502.200,1.425e-04,1.664e-04,1.966e-06,1.250,5.229,0.038,15.980,15.554,15.464,0.0053,0.0057,0.0137,732.784,4.091
19472,2017-10-23 01:49:20.000000,58049.07593,r,1253340949,0.0115,53.61597,-27.20622,15.510,0.0060,2269.648,12.515,0.0141,0,0,0.983,3520,9143.435,2505.952,1.037e-04,1.067e-04,-4.573e-07,1.081,3.877,0.310,16.203,15.609,15.511,0.0055,0.0050,0.0106,723.787,3.991
19473,2017-10-23 01:50:30.000000,58049.07674,r,1253350748,0.0199,53.61597,-27.20623,15.523,0.0060,2243.995,12.446,0.0144,0,0,0.984,2594,9143.632,2504.499,1.041e-04,1.100e-04,-6.843e-07,1.064,3.895,0.304,16.210,15.622,15.510,0.0055,0.0050,0.0106,717.489,3.979
19474,2017-10-23 01:51:40.000000,58049.07755,r,1253360109,0.0221,53.61597,-27.20622,15.500,0.0060,2291.515,12.601,0.0133,0,0,0.983,2505,9143.862,2504.563,1.144e-04,1.301e-04,7.264e-07,1.163,4.571,-0.098,16.057,15.564,15.480,0.0053,0.0052,0.0119,734.409,4.039
19475,2017-10-23 01:52:50.000000,58049.07836,r,1253369249,0.0162,53.61597,-27.20622,15.519,0.0060,2252.096,12.543,0.0140,0,0,0.983,2767,9143.883,2508.906,1.173e-04,1.329e-04,8.469e-07,1.154,4.493,0.658,16.076,15.584,15.508,0.0053,0.0053,0.0122,722.353,4.023
19476,2017-10-23 01:54:00.000000,58049.07917,r,1253378520,0.0156,53.61598,-27.20622,15.508,0.0060,2274.675,12.549,0.0124,0,0,0.983,2642,9143.840,2511.011,1.096e-04,1.209e-04,2.577e-07,1.138,4.272,0.219,16.069,15.586,15.526,0.0053,0.0052,0.0121,728.648,4.020
19477,2017-10-23 01:55:10.000000,58049.07998,r,1253387875,0.0178,53.61597,-27.20622,15.524,0.0060,2240.821,12.426,0.0122,0,0,0.986,2609,9143.494,2514.414,1.009e-04,1.040e-04,-6.648e-07,1.056,3.741,-0.112,16.237,15.631,15.494,0.0056,0.0050,0.0101,714.565,3.962
18770,2017-10-23 01:56:20.000000,58049.08079,q,1249663955,0.0354,53.61598,-27.20622,15.622,0.0039,2047.595,7.433,0.0159,0,0,0.984,3357,9143.032,2517.068,5.216e-05,6.173e-05,-8.654e-08,1.190,4.866,0.151,16.142,15.679,15.617,0.0034,0.0033,0.0072,1601.791,5.814
18771,2017-10-23 01:57:30.000000,58049.08160,q,1249675905,0.0235,53.61598,-27.20622,15.627,0.0039,2038.119,7.413,0.0158,0,0,0.982,3447,9142.604,2519.644,4.911e-05,5.367e-05,4.195e-07,1.098,4.394,0.820,16.229,15.700,15.622,0.0035,0.0032,0.0065,1585.976,5.768
18772,2017-10-23 01:58:40.000000,58049.08241,q,1249688299,0.0192,53.61597,-27.20623,15.622,0.0039,2046.937,7.392,0.0158,0,0,0.985,3538,9142.550,2523.234,4.393e-05,4.776e-05,8.845e-08,1.112,4.106,-0.290,16.235,15.696,15.598,0.0035,0.0031,0.0062,1590.383,5.744
18773,2017-10-23 01:59:50.000000,58049.08322,q,1249701160,0.0165,53.61598,-27.20622,15.617,0.0039,2056.253,7.406,0.0158,0,0,0.984,3652,9142.719,2520.427,4.116e-05,4.292e-05,1.025e-07,1.074,3.816,-0.099,16.272,15.711,15.601,0.0035,0.0031,0.0058,1594.772,5.744
18774,2017-10-23 02:01:00.000000,58049.08403,q,1249714203,0.0285,53.61598,-27.20622,15.619,0.0039,2053.341,7.408,0.0161,0,0,0.983,3730,9142.900,2519.656,4.234e-05,4.460e-05,6.523e-08,1.062,3.951,0.825,16.262,15.710,15.624,0.0035,0.0031,0.0061,1594.771,5.753
18775,2017-10-23 02:02:10.000000,58049.08484,q,1249726809,0.0448,53.61598,-27.20623,15.628,0.0040,2035.408,7.412,0.0159,0,0,0.984,3270,9143.054,2523.818,5.255e-05,6.323e-05,6.896e-07,1.223,5.093,-0.125,16.119,15.676,15.605,0.0034,0.0033,0.0074,1589.649,5.788
18776,2017-10-23 02:03:20.000000,58049.08565,q,1249738765,0.0221,53.61598,-27.20622,15.639,0.0040,2015.352,7.349,0.0166,0,0,0.985,3496,9143.327,2524.880,4.563e-05,5.058e-05,3.548e-07,1.120,4.195,-0.281,16.223,15.709,15.620,0.0035,0.0032,0.0065,1565.762,5.710
18777,2017-10-23 02:04:30.000000,58049.08646,q,1249752162,0.0195,53.61597,-27.20623,15.629,0.0039,2034.412,7.378,0.0157,0,0,0.983,3575,9143.729,2527.327,4.367e-05,4.589e-05,3.223e-08,1.057,3.956,-0.407,16.264,15.713,15.618,0.0035,0.0031,0.0061,1576.746,5.718
18778,2017-10-23 02:05:40.000000,58049.08727,q,1249765075,0.0335,53.61598,-27.20622,15.628,0.0041,2035.992,7.642,0.0182,2,0,0.983,3732,9197.367,2468.632,5.263e-05,5.465e-05,-9.678e-07,1.135,4.163,0.177,16.273,15.725,15.611,0.0036,0.0033,0.0066,1523.268,5.718
18779,2017-10-23 02:06:50.000000,58049.08808,q,1249778435,0.0517,53.61598,-27.20621,15.624,0.0040,2043.072,7.436,0.0173,0,0,0.983,3321,9197.740,2467.951,4.986e-05,5.432e-05,-6.799e-07,1.115,4.394,-0.177,16.203,15.696,15.615,0.0035,0.0032,0.0067,1587.538,5.778
18780,2018-11-07 21:20:47.772000,58429.88944,q,1249789485,0.0049,53.61597,-27.20622,15.685,0.0047,1931.821,8.426,0.0173,0,0,0.982,2149,9685.562,2512.984,1.570e-04,1.687e-04,-1.366e-06,1.089,6.681,0.457,16.244,15.742,15.697,0.0041,0.0043,0.0110,1394.955,6.084
19478,2018-11-07 21:22:27.977000,58429.89060,r,1253396496,0.0299,53.61598,-27.20622,15.582,0.0077,2124.071,15.066,0.0128,0,0,0.983,1620,9683.992,2512.478,4.128e-04,4.448e-04,-1.110e-05,1.217,6.580,0.320,16.103,15.633,15.568,0.0066,0.0077,0.0211,628.924,4.461
18194,2018-11-07 21:24:35.462000,58429.89208,i,1247319593,0.0304,53.61598,-27.20622,15.507,0.0103,2276.352,21.496,0.0143,0,0,0.979,1551,9683.034,2518.323,7.698e-04,8.004e-04,-1.173e-05,1.100,6.333,0.646,16.062,15.585,15.645,0.0092,0.0114,0.0369,449.106,4.241
18149,2018-11-07 21:27:04.006000,58429.89380,g,1247097527,0.0353,53.61598,-27.20623,15.866,0.0069,1636.024,10.396,0.0252,0,0,0.983,1427,9680.675,2519.653,2.528e-04,2.663e-04,-5.833e-06,1.126,5.766,-0.371,16.421,15.916,15.867,0.0059,0.0063,0.0164,680.059,4.321
20134,2018-11-07 21:29:49.255000,58429.89571,z,1254226347,0.0380,53.61598,-27.20622,15.471,0.0201,2352.198,43.570,0.0177,0,0,0.960,1115,9679.981,2527.122,3.355e-03,3.426e-03,-3.584e-05,1.154,6.929,0.929,16.060,15.598,15.705,0.0193,0.0264,0.0940,206.650,3.828
19521,2018-11-07 21:32:59.880000,58429.89792,u,1253589511,0.1376,53.61599,-27.20619,16.601,0.0287,830.698,21.974,0.0447,0,0,0.931,734,9677.560,2529.097,9.140e-03,9.305e-03,-5.004e-05,1.163,8.762,-0.673,17.091,16.640,16.420,0.0260,0.0362,0.0956,111.473,2.949
18195,2018-12-30 19:49:04.605000,58482.82575,i,1247325791,0.0513,53.61596,-27.20622,15.471,0.0096,2353.097,20.874,0.0161,0,0,0.983,1617,9583.570,2434.622,5.805e-04,6.441e-04,-6.854e-06,1.271,6.776,-0.274,15.950,15.528,15.516,0.0084,0.0107,0.0322,456.558,4.050
18781,2018-12-30 19:50:41.255000,58482.82687,q,1249797970,0.1037,53.61597,-27.20625,15.669,0.0046,1961.218,8.345,0.0193,0,0,0.983,2324,9580.408,2441.215,1.495e-04,1.411e-04,-6.592e-08,1.079,6.767,0.344,16.140,15.708,15.702,0.0039,0.0042,0.0112,1395.134,5.936
19479,2018-12-30 19:52:21.980000,58482.82803,r,1253402662,0.0199,53.61597,-27.20623,15.549,0.0073,2190.873,14.776,0.0159,0,0,0.982,1714,9580.318,2445.191,2.892e-04,3.013e-04,-2.720e-06,1.110,5.788,0.210,16.078,15.610,15.567,0.0062,0.0069,0.0187,635.316,4.285
18150,2018-12-30 19:53:53.375000,58482.82909,g,1247102490,0.1236,53.61597,-27.20626,15.848,0.0070,1663.315,10.797,0.0237,0,0,0.982,1387,9576.079,2441.215,3.432e-04,3.318e-04,-6.029e-07,1.030,6.501,-0.455,16.367,15.889,15.849,0.0060,0.0067,0.0182,681.743,4.425
20135,2018-12-30 19:55:29.585000,58482.83020,z,1254230644,0.0256,53.61597,-27.20622,15.448,0.0194,2403.192,42.836,0.0199,0,0,0.977,1110,9581.628,2445.398,3.300e-03,3.507e-03,-2.531e-05,1.377,7.595,0.192,15.963,15.528,15.273,0.0186,0.0261,0.0667,206.845,3.687
19522,2018-12-30 19:57:05.619000,58482.83132,u,1253591069,0.0662,53.61597,-27.20620,16.543,0.0267,877.043,21.588,0.0475,0,0,0.899,715,9569.197,2450.210,6.857e-03,6.914e-03,-2.020e-05,1.169,8.434,0.829,17.029,16.575,16.745,0.0241,0.0331,0.1246,116.494,2.867
18196,2019-01-01 19:35:05.573000,58484.81604,i,1247332206,0.0106,53.61597,-27.20622,15.137,0.0084,3200.491,24.718,0.0186,0,0,0.982,1427,9607.375,2389.289,5.707e-04,6.238e-04,-4.110e-06,1.244,7.215,0.337,15.665,15.203,15.140,0.0074,0.0091,0.0261,605.589,4.677
18151,2019-01-09 21:25:36.727000,58492.89279,g,1247106554,0.0814,53.61596,-27.20621,16.224,0.0386,1175.570,41.744,0.0786,0,0,0.889,686,9744.811,2457.877,1.310e-02,1.329e-02,5.248e-06,1.269,8.912,0.144,16.734,16.315,16.176,0.0372,0.0545,0.1564,76.966,2.733
20136,2019-01-09 21:27:10.352000,58492.89387,z,1254234564,0.1035,53.61596,-27.20625,15.599,0.0675,2090.628,130.026,0.0433,0,0,0.512,582,9745.732,2453.452,5.042e-02,5.099e-02,-2.813e-05,1.521,11.711,2.522,16.067,15.677,16.065,0.0735,0.1147,0.5435,56.417,3.509
19523,2019-01-09 21:28:47.522000,58492.89499,u,1253592576,0.0721,53.61600,-27.20622,16.569,0.0566,855.828,44.608,0.0689,0,0,0.557,628,9745.374,2455.937,3.620e-02,3.674e-02,5.153e-05,1.429,10.078,-0.651,17.121,16.689,16.314,0.0569,0.0838,0.1953,50.369,2.625
18198,2019-01-10 20:50:14.127000,58493.86822,i,1247337775,0.0680,53.61599,-27.20621,15.463,0.0116,2369.716,25.384,0.0175,0,0,0.979,1256,9733.261,2439.432,1.800e-03,1.895e-03,-1.456e-06,1.231,8.626,0.131,15.929,15.521,15.519,0.0107,0.0149,0.0471,440.263,4.716
18783,2019-01-10 20:51:53.372000,58493.86937,q,1249806195,0.1473,53.61593,-27.20624,15.657,0.0056,1983.408,10.200,0.0169,0,0,0.981,1529,9731.429,2443.344,5.756e-04,6.065e-04,4.339e-07,1.154,10.165,0.175,16.191,15.718,15.683,0.0049,0.0059,0.0173,1364.071,7.015
19481,2019-01-10 20:53:30.881000,58493.87050,r,1253408916,0.0650,53.61596,-27.20623,15.559,0.0086,2169.754,17.191,0.0157,0,0,0.982,1311,9731.074,2441.910,8.590e-04,8.988e-04,-3.581e-06,1.111,8.154,0.552,16.070,15.632,15.750,0.0075,0.0096,0.0326,612.201,4.850
18152,2019-01-10 20:55:08.419000,58493.87163,g,1247108888,0.0484,53.61597,-27.20621,15.836,0.0079,1680.824,12.240,0.0241,0,0,0.983,1189,9730.189,2441.645,6.933e-04,7.285e-04,-4.076e-06,1.125,8.007,-0.916,16.336,15.877,15.762,0.0068,0.0083,0.0225,660.458,4.809
20137,2019-01-10 20:56:43.991000,58493.87273,z,1254236943,0.0638,53.61596,-27.20623,15.436,0.0241,2429.094,53.933,0.0239,0,0,0.943,894,9730.235,2446.858,8.798e-03,8.966e-03,-1.245e-05,1.064,9.342,1.314,15.991,15.522,15.594,0.0241,0.0337,0.1176,193.425,4.295
19524,2019-01-10 20:58:20.581000,58493.87385,u,1253593799,0.0968,53.61596,-27.20620,16.518,0.0313,897.029,25.879,0.0531,0,0,0.893,714,9729.646,2448.409,1.255e-02,1.268e-02,8.454e-06,1.156,11.055,0.515,16.996,16.617,16.942,0.0290,0.0438,0.1924,110.369,3.184
18784,2019-01-16 20:49:47.734000,58499.86791,q,1249811901,0.1117,53.61600,-27.20621,15.812,0.0064,1719.547,10.095,0.0179,0,0,0.982,1347,9328.703,2591.938,3.098e-04,3.241e-04,4.697e-07,1.162,5.980,-1.704,16.333,15.850,15.715,0.0060,0.0076,0.0212,1282.864,7.531
19525,2019-01-16 20:51:20.805000,58499.86899,u,1253595229,0.1001,53.61597,-27.20625,16.660,0.0360,787.204,26.128,0.0498,0,0,0.853,524,9326.734,2596.380,1.649e-02,1.661e-02,-3.443e-05,1.086,9.216,0.745,17.163,16.646,17.178,0.0361,0.0491,0.2624,105.441,3.500
18153,2019-01-16 20:52:58.356000,58499.87012,g,1247112496,0.1310,53.61593,-27.20622,15.968,0.0110,1488.208,15.107,0.0261,0,0,0.948,790,9326.698,2598.083,1.709e-03,1.745e-03,-8.608e-07,1.126,7.799,-0.858,16.557,16.011,15.926,0.0110,0.0139,0.0415,638.649,6.483
19482,2019-01-16 20:54:36.370000,58499.87125,r,1253413723,0.0630,53.61597,-27.20621,15.745,0.0108,1827.433,18.146,0.0187,0,0,0.921,1095,9327.047,2599.674,1.191e-03,1.200e-03,-2.661e-06,1.055,6.402,1.421,16.380,15.821,15.755,0.0105,0.0129,0.0384,562.873,5.589
18199,2019-01-16 20:56:13.624000,58499.87238,i,1247342628,0.0963,53.61596,-27.20620,15.636,0.0142,2020.501,26.451,0.0149,0,0,0.928,1218,9328.001,2607.451,2.392e-03,2.389e-03,-7.045e-06,1.021,7.703,1.753,16.276,15.731,15.685,0.0139,0.0176,0.0543,403.702,5.285
20138,2019-01-16 20:57:51.119000,58499.87351,z,1254240579,0.0140,53.61597,-27.20623,15.613,0.0246,2064.068,46.748,0.0210,0,0,0.966,1053,9327.241,2614.880,5.231e-03,5.278e-03,9.770e-06,1.024,5.818,-0.810,16.310,15.759,15.500,0.0242,0.0311,0.0794,170.925,3.871
